Estado,Codigo,UF
Acre,12.*,AC
Alagoas,27.*,AL
Amapá,16.*,AP
Amazonas,13.*,AM
Bahia,29.*,BA
Ceará,23.*,CE
Distrito_Federal,53.*,DF
Espírito_Santo,32.*,ES
Goiás,52.*,GO
Maranhão,21.*,MA
Mato_Grosso,51.*,MT
Mato_Grosso_do_Sul,50.*,MS
Minas_Gerais,31.*,MG
Pará,15.*,PA
Paraíba,25.*,PB
Paraná,41.*,PR
Pernambuco,26.*,PE
Piauí,22.*,PI
Rio_Grande_do_Norte,24.*,RN
Rio_Grande_do_Sul,43.*,RS
Rio_de_Janeiro,33.*,RJ
Rondônia,11.*,RO
Roraima,14.*,RR
Santa_Catarina,42.*,SC
São_Paulo,35.*,SP
Sergipe,28.*,SE
Tocantins,17.*,TO
